NodeName,Keywords
AP Automation,
Bank Automation ,
Cash & bank management,
Commodity pricing,F&B
Credit & Collections,"F&B,RETAIL,LS"
Fixed Assets,"F&B,RETAIL,LS"
Predicting Late Payments ,"F&B,LS"
Project Accounting,LS
Vendor Portal,"F&B,LS"
IOT,"F&B,RETAIL,LS"
Lean Manufacturing,F&B
Subcontracting,"F&B,LS"
Asset Management ,"F&B,LS"
Capacity planning,"F&B,LS"
Demand Forecasting,"F&B,LS"
MRP,"F&B,LS"
Production Control,"F&B,LS"
Quality Control,"F&B,LS"
Transportation Management ,F&B
Warehouse Management,F&B
Customer Insights ,RETAIL
Microsoft Relationship Sales (MRS),"F&B,RETAIL,LS"
Sales Insights,"F&B,RETAIL,LS"
Ecommerce ,"F&B,RETAIL,LS"
Adobe Experience Cloud ,RETAIL
Connected Store,RETAIL
Dynamics Marketing ,"F&B,RETAIL,LS"
Product Visualize,
Automating business process flows ,
Building and optimizing workspaces,
CDS and Power platform ,
Optimizing UI,
Reporting,
Security roles and privileges ,
Workflows,
Advanced Load Building,F&B
Catch Weights,F&B
Commodity Contract Management ,F&B
Direct to Consumer,RETAIL
Freshness Rules,F&B
Industry Essentials for Food,F&B
Life Science Essentials ,LS
Pharmaceutical Contract Management,LS
Postage and Handling,RETAIL
Retail Reporting pack,RETAIL
Direct Store Delivery,F&B
Business Operations Assessment,
Business Workflow,
Innovation Challenge,
Organizational Change Management,
Work Process Documentation,
Innovation Challenge,
Work Process Documentation,
Client Pulse ,
Know your customer,
Promotion Management ,F&B
Quarterly CTO Review,"F&B,RETAIL,LS"
Implementation,"F&B,RETAIL,LS"
Recall / Replace process ,"F&B,LS"
RSAT,
System Usability,
Upgrade Assessment ,
License and Storage cost management,
User Audit,
Client Experience,
Data Quality,
Industry 4.0 ,
Operations Strategy,
Physical Program,
IT Maturity,
Performance Improvement ,
Annual Penetration testing,
Privileged Account Management,
cGMP,
Security ,
Infrastructure,
Global Compliance and Reporting ,
Anti-Money Laundering (AML),
Regulatory,
Vendor Risk,"F&B,LS"
PCI Readiness,RETAIL
Cyber Governance Review,"F&B,RETAIL"
Data Loss Prevention,"F&B,RETAIL,LS"
Validation services,LS
HIPAA Remediation Assistiance,LS
HIPAA Rapid,LS
HIPAA Risk Analysis,LS
HITRUST CSF Readiness,LS
Data Quality,
Data Loss Prevention,
Vulnerability,
Annual Penetration testing,
Wireless testing,
Security Architecture Review ,
Azure Environment Hardening,
Firewall Evaluation,
Security Monitoring,
Cybersecurity Risk,RETAIL
Organizational Threat Modeling,"F&B,RETAIL,LS"
Security Whiteboard Session,"F&B,RETAIL,LS"
Web Application Penetration Test,"F&B,RETAIL"
Web Application Vulnerability Scan,"F&B,RETAIL"
Wireless Penetration Test,"F&B,RETAIL,LS"
End Point Protection,"F&B,RETAIL,LS"
M&A Support,"F&B,RETAIL,LS"
Value -added Tax ,RETAIL
R&D Tax Credits,"F&B,LS"
Functional Consulting,
ISV,
Advisory,
Break / Fix,
E-Learning,
Release Management,
Retail optimizatons,
Technical Consulting,
Platform,
Advisory,
RSAT,
cGMP and CFR Part 11 compliance,
Licensing,
Environment Consulting,
24/7,
Updates,
Integrations,
Load Testing,
Health Checks,"F&B,RETAIL,LS"
Seasonal,"F&B,RETAIL"
CDS - Monitoring for integrations,"F&B,RETAIL,LS"
Cloud Provisioning,"F&B,RETAIL,LS"
Cloud Spend Management ,
Dynamics Performance Monitoring,
Desktop Management,
Managed Device,
Managed M365,
Managed Network Services,
Networking and Data Center ,
POS Device Management,
Security and Compliance,
Storage and Recovery,
System Job Cleanup,
Finance,
IOT,
Manufacturing ,
Supply Chain,
Sales,
"Sales, Marketing and Customer Service ",
Technology,
Accelerators,
Strategic,
Daily Operations,
Compliance ,
Risk Management ,
HIPAA,
Data ,
Cybersecurity,
M&A,
Tax ,
Functional,
Technical,
Compliance ,
Operations,
Performance,
Cloud,
Managed Infrastructure,
Advisory Workshops,
Business Optimization Services,
Strategic Assessment,
Operations Support,
Technology Management,
