NodeName,Title,Description,ContactName,EmailAddress,ImageFileName,ExternalURL,InternalURL,ExternalOnePage,EmailSubject,HTMLResult,PublicPreview,GeneralAvailability,BusinessValue,FeatureDetails,ParentNodeName
0,1,2,3,4,5,6,7,8,9,10,,,,,null
CE,CE,CE,,,,,,,,,,,,,CE
Marketing,Marketing,Marketing,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/,,,,,,,CE
Dynamics 365 Marketing,Dynamics 365 Marketing,Dynamics 365 Marketing,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/,,,,,,,CE
Collaborative apps,Collaborative apps,Collaborative apps,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/planned-features,,,,,,,CE
Take action with your customers in more ways by raising triggers from a journey to run another journey or Power Automate flow,Take action with your customers in more ways by raising triggers from a journey to run another journey or Power Automate flow,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/take-action-customers-more-ways-raising-triggers-journey-run-another-journey-or-power-automate,,,Feb 2022,Apr 2022,Based on the unique needs of your business you may need to trigger custom processes or Power Automate flows at relevant points in a customer journey. Or you might have multiple journeys that logically function together. These scenarios can now be accomplished easily with Dynamics 365 Marketing by using custom event triggers as the glue between journeys as well as between journeys and your custom processes.For example a loan application journey could have various steps that require a human agents approval. By creating a separate customer journey or Power Automate Flow for loan exception approval you can trigger it from various points in the loan application journeys where exceptions can occur. The data you send with the event trigger can be used for populating dynamic content or as inputs to other flow actions.,A new journey tile will raise an event trigger at any point in a customer journey.Any journey or Power Automate flows connected to the event trigger will be run immediately when a customer reaches the tile. This includes event triggers used in exit criteria goals and if/then branches for journeys.Logically connect two or more journeys using custom event triggers. For instance when a welcome journey for a new customer ends add them to the ongoing nurture journey.When using this action you can choose what data to send as part of the event trigger. You can choose customer profile data (for instance attributes of the target audience such as contacts and leads) and data from other event triggers used in the journey (for instance attributes of the event trigger that starts the journey).  NoteThis feature is only available in real-time marketing; it does not affect outbound marketing functionality.,CE
Personalize interactions using a unified view of customer activity across Dynamics 365 Marketing Sales and Customer Service,Personalize interactions using a unified view of customer activity across Dynamics 365 Marketing Sales and Customer Service,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/personalize-interactions-using-unified-view-customer-activity-across-dynamics-365-marketing-sales-customer-service,,,Apr 2022,Jun 2022,Having a single view of all activities enables you to get a complete understanding of your customer. With that context you can create deeply personalized experiences for both digital and non-digital channels. Along with Dynamics 365 Sales and Dynamics 365 Customer Service you will now be able to view all your Dynamics 365 Marketing interactions in the unified activity timeline under your contacts.,View both real-time and outbound marketing activities in the Dynamics 365 unified timeline.Search and filter Marketing-only activities such as &quot;All emails opened by Contact 'X'.&quot;Preview your email content within the timeline view.,CE
Trigger journeys based on data changes in any Dynamics 365 app to engage customers at the right time without writing any code,Trigger journeys based on data changes in any Dynamics 365 app to engage customers at the right time without writing any code,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/trigger-journeys-based-data-changes-dynamics-app-engage-customers-at-right-time-without-writing-code,,,Jun 2022,Aug 2022,Interactions in any Dynamics 365 app can be used to trigger and drive customer journeys in just a few clicks without requiring developers or customizations.Your customers interact with several departments and functions in your company throughout their lifetime all of which use their own CRM ERP and business apps. Each of these interactions such as a service ticket being closed represents an opportunity to engage more deeply with your customers. Now data no longer has to remain siloed within separate apps and out of reach of your customer engagement or marketing automation tools.,When you use Dynamics 365 applications all of your customer data and interactions are already being captured in Microsoft Dataverse. Some of this data captures moments where youd like to engage your customers through a journeyfor instance a support case that is created or a new order placed. You can now create event triggers to capture these moments that matter and then use these event triggers to start and drive journeys.  Create new event triggers based on common operations such as adding new rows to a table or updating attribute values on any audience table in Dataverse such as contact opportunity account and lead with an easy-to-use UI.Trigger journeys based on one or more specified conditions on any Dataverse tables (including custom tables) that are directly related to the audience table.Immediately use the trigger in journeys without requiring any development or integration.,CE
Collaborate across your organization to create the best marketing campaigns possible using the built-in Microsoft Teams chat,Collaborate across your organization to create the best marketing campaigns possible using the built-in Microsoft Teams chat,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/collaborate-across-organization-create-best-marketing-campaigns-possible-using-built-teams-chat,,,Feb 2022,Sep 2022,Creating great marketing content and journeys is a team effort. With Microsoft Teams chat you can easily collaborate with your team without leaving the journey canvas or email editing experience. For example as you create an email you can tag someone to review your content. Or while creating a journey you can collaborate with a coworker on which data to use in a branch. This gives you the added benefit of seeing feedback over time and referring back to comments people made.,Use all Teams chat capabilities directly within Dynamics 365 Marketing.Easily add and remove people from the chat.Suggest people to add to the chat.Show all recent chats.Set up which entities to include chat on.,CE
Data and AI,Data and AI,Data and AI,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/planned-features,,,,,,,CE
Delight your customers with hyper-personalized next-best content selection and boost your marketing ROI by optimizing with AI,Delight your customers with hyper-personalized next-best content selection and boost your marketing ROI by optimizing with AI,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/delight-customers-hyper-personalized-next-best-content-selection-boost-marketing-roi-optimizing-ai,,,Jun 2022,-,Your customers are unique and are driven by different incentives. Compelling content and offers are a marketer's most powerful tool in engaging customers or preventing them from churning. In addition to specifying manual rules for offer selection you can leverage AI-based optimization to tailor offers to match the preferences interests and motivations of each of your customers based on rich customer data from all of your customer data sources via Dynamics 365 Customer Insights and past interactions with your brand. By learning how your customers engage with the offers being sent based on your defined rules AI can start to further optimize those offer decisionsenabling you toliftthe goal attainment/ROI of your journeys.,Simply add a few options of different content variations (that contain different offers images and calls to action) when composing messages using codeless conditional content and define rules on the type of customers to target with each variant.Use the message with content variations at any step in the journey to tailor the message for every customer going through the journey.Optionally optimize the rules with AI. Every customer is delighted with the best variant selected by AI based on their profile and past interaction data.Compare journey goal attainment with AI against an automatically generated control group.Improve the effectiveness of the AI when using 360 customer profiles from Dynamics 365 Customer Insights.,CE
