Product,Category,SubCategory,FeatureType,FeatureTitle,BusinessValue,FeatureDetails,ReleaseWave,PublicPreview,DateAvailable,ImpactLevel,BusinessAndProfessionalServices,FoodAndBeverage,Retail,CPG,Government,FinancialServices,LifeSciences,NonProfit,Gaming,HealthCare,Industrials,RealEstate,Technology
BC,Dynamics 365 Business Central,Application,,Account schedules  Budget Name filter for columns and more templates added,Account schedules are a fast way for businesses to generate custom G/L reports. To help you get started more easily we've added even more templates. Set a filter on Budget Name and create an account schedule that reports on actual versus budgets for both a budget and a forecast (a second budget) which is often a reporting requirement for financial departments.,To help users get off to a good start when using account schedules to create custom G/L reports we've added several new templates for account schedules. The ANALYSIS REVENUE and CASHFLOW account schedules are now available in demonstration and trial (setup data only) companies. The new account schedules are mapped to the chart of accounts that can be used for product demonstrations but they can easily be adapted to any chart of accounts.  For Column Layout there's a new Budget Name field so that you can filter on a specific budget (or budgets) for that column. This way you create account schedules that report on actual versus budget figures for both a budget and a forecast (which is a second budget).            Thank you for your idea  Thank you for submitting this idea. We listened to your idea along with comments and votes to help us decide what to add to our product roadmap.,2021 Wave 2,Sep 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Add additional columns through personalization in various pages to gain more insight,Different businesses and users need different information to complete business processes. Personalization is a powerful tool that lets people tailor the information that pages contain by dragging fields or columns from a list to the page. Based on feedback from our community we've added more fields and columns to choose from on several pages.,Get Receipt Lines page  You can add the Order No. Vendor Order No. Vendor Shipment No. Vendor Item No. and Item Reference No. columns to the Get Receipt Lines page.    Thank you for submitting this idea.  Get Shipment Lines page  You can add the Order No. External Document No. and Your Reference columns to the Get Shipment Lines page.    Thank you for submitting this idea.  Bank Accounts page  The Bank Accounts page contains the Balance at Date and Balance at Date (LCY) columns.    Thank you for submitting this idea.  Chart of Accounts and G/L Account Card pages  You can add the No. 2 column for alternative accounts to the Chart of Accounts page and as a field on the G/L Account Card page.      Thank you for submitting this idea.  General Journals and Recurring General Journal pages  You can add the External Document No. column to the General Journals and Recurring General Journals pages.      Thank you for submitting this idea.  Sales purchase and archive documents  You can add the Unit Gross Weight Unit Net Weight Unit Volume and Units per Parcel columns to pages for the following documents:  Sales documents and sales archive documents such as blanket orders quotes orders return orders and more.Purchase documents and purchase archive documents such as blanket orders quotes orders return orders and more.Sales shipment report data set.    Thank you for submitting this idea.  Purchase documents  You can add the Expected Receipt Date field to the Purchase Quotes Purchase Quote Archives and Purchase Orders pages.    Thank you for submitting this idea.  Additionally you can add fields related to jobs such as Job No. Job Task No. Job Planning Line No. and more.    Thank you for submitting this idea.  Item Card page  You can add the Transfer Order Receipt and Shipment Quantities fields to the Item Card page.    Thank you for submitting this idea.  Description 2 fields  You can add the Description 2 field to all sales service purchase drafts and posted and archived document lines.    Thank you for submitting this idea.  Name 2 fields  You can add the Name 2 field to the Contact Card and list pages Contact Company Details page and the Resource Card and list pages.    Thank you for submitting this idea.  External Document No. field  You can now add External Document No. field to the Aged Accounts Receivable report's Word layout.  Thank you for submitting this idea.  Contact Job Title  You can add the Contact Job Title field to the Contact Card and list pages Contact Company Details page and the Resource Card and list pages.    Thank you for submitting this idea.  Source Type and Source No.  You can add the Source Type and Source No. fields to the General Ledger Entries page. Filtering General Ledger Entries by for example Source Type Vendor and specific Vendor No. in the Source No. field gives you a list of entries to be used in expenses by vendor analysis.    Thank you for submitting this idea.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  Thank you for your idea  Thank you for submitting this idea. We listened to your idea along with comments and votes to help us decide what to add to our product roadmap.,2021 Wave 2,Sep 1 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Add non-inventory items on requisition and planning worksheets,Some businesses use requisition or planning worksheets to enter information about the items they want to order and then create orders for the items all in one go. Enabling the worksheets to handle both physical inventory items such as chairs and non-inventory items such as services gives businesses a unified procurement process.,You can process non-inventory lines in much the same way as other types of items. If you use requisition and planning worksheets as the starting point for purchase orders in your procurement process you can manually enter lines for non-inventory items on the worksheets. Then when you create your purchase orders the non-inventory items will be included. This allows you to use same procurement process for inventoriable and non-inventoriable items.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  Thank you for your idea  Thank you for submitting this idea. We listened to your idea along with comments and votes to help us decide what to add to our product roadmap.  See also    About Planning Functionality (docs),2021 Wave 2,Sep 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Bank and payment reconciliations,Bank and payment reconciliations are key processes for all businesses by providing an overview of whether the cash flow is accurate and that all transactions have been accounted for. In this release wave we make it more efficient to use those features assisting the user and give more information during the process.,The Payment Reconciliation Journal has been improved with the following capabilities:  Separate number series.Posting preview.Ability to reverse the G/L register posted through the Payment Reconciliation Journal.  The Bank Reconciliation page has been enhanced with the following capabilities:  Bank ledger entries are now filtered so only ledger entries after the statement's ending date are displayed making it simpler to get an overview.The layout of the test report has been cleaned up making it simpler to read. The report will also use the statement date as a filter for the G/L account as well as the bank account so that the focus is on the period being reconciled.When applying auto-matching the user can decide to not overwrite any of the already matched entries or to overwrite all.Many-to-1 matching is now possible so many bank statement lines can be matched against one bank ledger entry. This will support scenarios such as a bank statement splitting up sales into payment methods for which you only posted one bank ledger entry.When you transfer differences to be posted in a general journal the entries will be auto-matched when you return to the bank reconciliation reducing the redundant manual step.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  Thank you for your idea  Thank you for submitting this idea. We listened to your idea along with comments and votes to help us decide what to add to our product roadmap.,2021 Wave 2,Sep 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Couple records between Business Central and Dataverse (and apps for Dataverse) in bulk,When you integrate Business Central with Microsoft Dataverse or Dynamics 365 Sales both systems often already contain data. Because data in Dataverse can come from multiple sources there might be data that you don't want to transfer to Business Central because it could impact financial reports and other business processes such as invoicing and tax calculations. Bulk-coupling speeds up the process of coupling multiple records while letting you define rules to control how the couplings are made.,When you couple the records that you want to synchronize data for in each applicationfor example a customer in Business Central and an account in Dataverseyou can filter and choose the data to synchronize using the new Coupled in Dataverse column. To match and couple selected records between Business Central and Dataverse or Dynamics 365 Sales you use the Match-Based Coupling action.    The Select Coupling Criteria page allows you to select the fields to match by choosing the Match on this Field column. You can also set a Matching Priority for fields and specify whether you want Business Central to create new records when a match isn't found by turning on the Create New If Unable to Find a Match toggle.    Rather than writing custom business logic in a per-tenant extension to define how to match and couple records between Business Central and Dataverse or Dynamics 365 Sales you can define the fields to match on the Integration Field Mapping page for entire mapping.    Business Central will use those settings to automatically match and couple records. Additionally this also makes it easier to migrate data from Business Central (on-premises) to Business Central online.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  Thank you for your idea  Thank you for submitting this idea. We listened to your idea along with comments and votes to help us decide what to add to our product roadmap.  See also    Coupling Records (docs),2021 Wave 2,Sep 1 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Default line type in the sales and purchase documents,Whether your company deals with physical goods or uses Business Central only to book financial transactions you probably deal with some type of purchase or sales documents. You can now specify a default type for these documents and save a little time when preparing them.,Sales and purchase documents can contain different types of lines such as G/L Account Item Resource or Fixed Asset. In this release you can select the default line type that will be suggested when you create new documents. You can specify the default type for sales on the Sales &amp; Receivable Setup page and for purchases on the Purchase &amp; Payables Setup page in the Document Default Line Type field. Afterward the first line on the document will always use the default type that you specified and you can start working with lines by selecting values in the No. field. Of course you can change type in line if needed. If you do the next lines that you create will use type from the previous line. The default value affects only the first line.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  Thank you for your idea  Thank you for submitting this idea. We listened to your idea along with comments and votes to help us decide what to add to our product roadmap.,2021 Wave 2,Sep 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Edit in Excel in recurring general journals and intercompany general journals,One of the reasons the Edit in Excel feature in Business Central is so popular is that it provides a fast way to enter data. For example you can use templates for journals make quick bulk edits and so on. Businesses can now use the feature to speed up data entry on recurring general journals and intercompany G/L journals.,The Edit in Excel feature has been around for a while on pages where businesses often bulk-edit data but to extend its availability even further we've added it to the following pages:  Recurring general journalsIntercompany general journals    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  Thank you for your idea  Thank you for submitting this idea. We listened to your idea along with comments and votes to help us decide what to add to our product roadmap.,2021 Wave 2,Sep 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Group G/L and VAT entries in Posting Preview and easily extend Posting Preview,When posting journals or documents with a large number of entries accountants want to make sure that the posting will be correct beforehand. Previewing the posting helps prevent the need for corrections making accountants more productive.,You can enable the new way of showing Posting Preview by choosing Extended in the Posting Preview Type field on the General Ledger Setup page.    When the extended posting preview is turned on you can choose to preview a posting using the Preview Posting action (or the Ctrl+Alt+F9 keyboard shortcut)for example on a payment journal. On the Posting Preview page you can choose Show Hierarchical View to group the entries.    Partners can easily extend the posting preview either by adding types of ledger entries that are relevant for their industry or by modifying the way entries are grouped.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  See also    Preview Posting Results (docs),2021 Wave 2,Sep 1 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Improved user experience to keep posting setup and dimension issues from going wrong,Posting groups and dimensions can be difficult concepts to understand. It's best to set up posting groups and dimensions up front. However many companies do that as they go and resolve issues as they arise. We've added tools that support learning by capitalizing on concrete examplesfor example when documents are using posting groups that are not set up correctly or have incorrect dimensions or dimension values. Accountants controllers and finance people know how specific transactions need to be posted and guidance when things go wrong with posting setups and dimensions will make it easier to resolve issues.,Product telemetry shows that posting groups and dimensions errors are typically caused by incorrect setup. We've made changes to clarify the errors and provide guidance on how to resolve them. You can now investigate issues with posting setups on the Error Messages page across the application:  The Description column shows details about the error.The Source and Source Field Name columns point to the posting setup page where the error occurred and link to a page where you can resolve the issue. This requires the user to have permissions to do so.The Support URL column provides a link to a troubleshooting guide.    Additionally for dimension issues the Error Messages page provides a link in the Context column that opens a page where you can fix the issues in the document. This also requires that the user has permissions to do so.      NoteThe error handling described here is not available on Item Resource Employee and Fixed Asset Journals and for G/L accounts added in local versions of posting groups.  Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  See also    Setting Up Posting Groups (docs),2021 Wave 2,Sep 1 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Integrate Business Central and Microsoft Dataverse with more efficient synchronization of multiple records,The data exchanged between Business Central and Microsoft Dataverse is synchronized based on a schedule. Occasionally there are situations where a business requires multiple records to be created synchronized or restored manually on an ad hoc basis. This feature decreases the number of synchronization jobs that are run in such cases making synchronization of multiple records faster and users more productive.,When users select multiple records such as hundreds of customers or contacts Business Central creates a single synchronization job per batch of selected records. This greatly reduces the load on the task scheduler that runs the background jobs and makes it easier for users to stay below the limits for queue entries. This new way of synchronizing batches of selected records also considers Dataverse request limits by ensuring that the batches are processed in smaller sizes.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.,2021 Wave 2,Sep 1 2021,Oct 2021,,,,,,,,,,,,,,
