Product,Category,SubCategory,FeatureType,FeatureDetails,HeaderDetails,HeaderTitle,ReleaseWave,ImpactLevel,FoodAndBeverage,Retail,Industrials,LifeSciences,PublicSector,HealthCare,NonProfit,BusinessAndProfessionalServices,GroupNode
FS,,,,null,,,,,,,,,,,,,Yes
FS,,,,null,,,,,,,,,,,,,Yes
FS,Accounting,,,null,,,,,,,,,,,,,Yes
FS,Accounting,Accounting Testing,,null,,,,,,,,,,,,,Yes
FS,Accounting,Accounting Testing,,null,,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_163836521911"></h2><br>          <p>SuiteApprovals includes the following enhancements in 2022.1:</p><br>          <ul>            <li>              <p>                <a href="#subsect_165163520596">Approval Submission Process Enhancements</a><br>              </p><br>            </li><br>            <li>              <p>                <a href="#subsect_163836544386">Record Locking and Reapproval</a><br>              </p><br>            </li><br>            <li>              <p>                <a href="#subsect_163836641492">SuiteApprovals Portlets</a><br>              </p><br>            </li><br>          </ul><br>          <div><br>            <h3 id="subsect_165163520596">Approval Submission Process Enhancements</h3><br>            <div class="infobox-important"><br>              <span class="notep1">Important: </span><br>              <p class="nshelp_first">SuiteApprovals SuiteApp 7.02.0 is available for early access testing in Sandbox accounts. The target availability to all production accounts is in June 2022.</p><br>            </div><br>            <p>SuiteApprovals version 7.02.0 includes the following enhancements to the approvals submission process:</p><br>            <ul>              <li>                <p><strong>Enable Draft Status</strong> â You can set a preference to enable certain record types to be saved as a draft before it goes through the approvals routing process. On the General subtab of the Approval Preferences page (Setup &gt; Approval Process Manager &gt; Preferences) you can select which record types can be saved as a draft in the Enable Draft Status field.</p><br>              </li><br>              <li>                <p><strong>Submit for Approval</strong> â If you enabled the draft status preference for a record type the approval process will not automatically start when the record is saved. The record will be saved in draft state upon creation and a Submit for Approval button will be available. To initiate the approval process you must click the Submit for Approval button.</p><br>              </li><br>            </ul><br>            <p>These enhancements enable you to save and review the records for any changes needed. You can also review the approvers on the applicable approval rules before submitting the record for approval.</p><br>          </div><br>          <div><br>            <h3 id="subsect_163836544386">Record Locking and Reapproval</h3><br>            <p>The Approval Rule page and Approval Rule assistant now include a new section <strong>Set Up Locking and Reapproval</strong>. This section includes the following capabilities:</p><br>            <ul>              <li>                <p><strong>Record locking based on approval status</strong> â When creating approval rules you have the following record locking options:</p><br>                <ul>                  <li>                    <p>Lock records in Pending Approval or Approved status or both.</p><br>                  </li><br>                  <li>                    <p>Allow editing of records regardless of approval status.</p><br>                  </li><br>                </ul><br>                <p>This capability applies to purchase orders vendor bills and expense reports.</p><br>              </li><br>              <li>                <p><strong>Setting of percentage or amount tolerance limits</strong> â You can set tolerance limits to control whether records are rerouted for approval. Tolerance limits affect only pending approval and approved records.</p><br>                <p>The system reroutes records for approval using the same approval rule if the change in the record amounts exceed the set percentage or amount tolerance. You also have the option to disallow rerouting regardless of changes in record amounts.</p><br>                <p>This capability applies to purchase orders vendor bills and expense reports.</p><br>              </li><br>            </ul><br>          </div><br>          <div><br>            <h3 id="subsect_163836641492">SuiteApprovals Portlets</h3><br>            <p>SuiteApprovals version 7.00 includes the following portlets:</p><br>            <ul>              <li>                <p><strong>Records for Approval</strong> â Aside from vendor bills you can now see the number or purchase orders and expense reports for your approval.</p><br>                <ul>                  <li>                    <p>The portlet lists the records by type and shows how many records you need to approve.</p><br>                  </li><br>                  <li>                    <p>The record type name on the portlets links to a page from which you can access the records.</p><br>                  </li><br>                </ul><br>              </li><br>              <li>                <p><strong>SuiteApprovals Reminders</strong> â For vendor bills purchase orders and expense reports:</p><br>                <ul>                  <li>                    <p>The portlet lists the pending approval and rejected records per record type for the whole account. Each status links to a page that shows the list of pending approval and rejected records.</p><br>                  </li><br>                  <li>                    <p>You can also review ageing records awaiting approval and review records that may require reapproval.</p><br>                  </li><br>                </ul><br>              </li><br>            </ul><br>            <p>For more information see <a href="chapter_161589014381.html">SuiteApprovals SuiteApp</a>.</p><br>          </div><br>        </div>,SuiteApprovals Enhancements,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_163697829447"></h2><br>          <p>The FAM Diagnostics portlet on the Home dashboard enables you to check the health of the Fixed Assets Management SuiteApp. The following features are available in the enhanced FAM Diagnostics portlet:</p><br>          <ul>            <li>              <p><strong>Scan for assets without an Asset Values record</strong> â Missing field values on the asset records often occur if the asset is imported when the server scripts are not running. When records have missing field values depreciation values fail to generate. With this update you can now scan your system to identify the list of assets with no Asset Values record. Click the <strong>Review Assets</strong> link in the portlet to open the Review Assistant. From the Review Assistant you can check the details of each asset and choose to delete the assets or add asset values.</p><br>            </li><br>            <li>              <p><strong>Scan for lease payments without contracts</strong> â Missing contracts on the lease payment record occur if the records are imported when the server scripts are not running. With this update you can now scan for lease payment records without contracts. When the scan is complete you can click <strong>Create Lease Contracts</strong> under the Action column of the portlet to update the lease payment records.</p><br>            </li><br>            <li>              <p><strong>Updates to column labels</strong> â To improve the user interface the Requires Action column is removed. You can refer to the Action column to check if the scan results require user input.</p><br>            </li><br>          </ul><br>          <p>For more information see <a href="section_157970301580.html">FAM Diagnostics Portlet</a>.</p><br>        </div>,Enhancements to Fixed Assets Management (FAM) Diagnostics Portlet,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_164931062835"></h2><br>          <p>Expense Commitments and Budget Validation SuiteApp version 1.0.7 includes an update to the Budget Transaction Consumed Amount predefined saved search.</p><br>          <p>Previously the results of this predefined saved search are sourced only from purchase orders vendor bills and purchase requests.</p><br>          <p>In this update additional search filters for other expense transactions are added. Expense reports vendor credits journal entries and custom expense transactions are now also included in this predefined saved search.</p><br>          <p>To learn more about how to create or modify your budget control saved search see <a href="section_161794691161.html">Creating a Budget Control Saved Search</a>.</p><br>        </div>,Budget Transaction Consumed Amount Saved Search Update,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_165059006057"></h2><br>          <p>The NFP Labor Expense Allocation SuiteApp is renamed to Labor Expense Allocation SuiteApp.Â This SuiteApp is now available for installation from the SuiteApp Marketplace.</p><br>          <p>Previously you can install the NFP Labor Expense Allocation SuiteApp from the Search &amp; Install Bundles page. If you have the previous SuiteApp (version 1.00.4 bundle ID: 305364) installed in your NetSuite account and you want to use the new version you need to uninstall that SuiteApp first before installing Labor Expense Allocation from SuiteApp Marketplace.</p><br>          <p>Starting version 1.0.0 you can now install and use Labor Expense Allocation to allocate expenses through additional custom segments without installing the NFP Financials SuiteApps.</p><br>          <p>The Labor Expense Allocation SuiteApp lets you:</p><br>          <ul>            <li>              <p>Allocate payroll costs including salary and fringe benefits to benefiting program project or grant segments.</p><br>            </li><br>            <li>              <p>View and manage reports on total direct costs including the labor costs of running a program or project.</p><br>            </li><br>            <li>              <p>Retrieve employee pay data and fetch employee timesheets generated from the SuitePeople U.S. Payroll feature.</p><br>            </li><br>          </ul><br>          <p>For more information see <a href="article_159118277665.html">Labor Expense Allocation</a>.</p><br>        </div>,Labor Expense Allocation Now Available in SuiteApp Marketplace,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_165059066672"></h2><br>          <p>For NetSuite accounts that have the NFP Labor Expense Allocation SuiteApp installed from the Search &amp; Install Bundles page the new version is now called Labor Expense Allocation SuiteApp.Â </p><br>          <p>In addition Labor Expense Allocation version 1.01.0 now lets you process payroll data generated from the SuitePeople U.S. Payroll feature.</p><br>          <p>On the Labor Expense Allocation Preferences page you can now set the following field preferences:</p><br>          <ul>            <li>              <p><strong>Employee Pay Source</strong> â Set this preference to SuitePeople if your employee pay source comes from the SuitePeople U.S. Payroll feature.</p><br>            </li><br>            <li>              <p><strong>Saved Search for Employee Pay</strong> â Assign the predefined search provided by the SuiteApp or use your own customized saved search.</p><br>              <p>The latest version includes a predefined saved search named <strong>SuitePeople Employee Pay</strong>. The search sources paychecks generated through the SuitePeople U.S. Payroll feature and employee pay transactions created through Labor Expense Allocation.</p><br>            </li><br>          </ul><br>          <p>In the latest version there is no need to manually create or import timesheets into NetSuite. The SuiteApp now supports the automatic retrieval of employee pay data and enables you to fetch timesheets created through the SuitePeople U.S. Payroll feature.</p><br>          <p>For more information see <a href="article_159118277665.html">Labor Expense Allocation</a>.</p><br>        </div>,Support for SuitePeople U.S. Payroll in Labor Expense Allocation,2022 Wave 1,,,,,,,,,,No
