NodeName,Recommendation,UpgradeType,FoodAndBeverage,Retail,Industrials,LifeSciences,PublicSector,HealthCare,NonProfit,BusinessAndProfessionalServices
0,G,x,x,x,x,x,x,x,x,x
CE,G,x,x,x,x,x,x,x,x,x
Marketing,G,x,x,x,x,x,x,x,x,x
Dynamics 365 Marketing,G,x,x,x,x,x,x,x,x,x
Collaborative apps,G,x,x,x,x,x,x,x,x,x
Take action with your customers in more ways by raising triggers from a journey to run another journey or Power Automate flow,G,x,x,x,x,x,x,x,x,x
Personalize interactions using a unified view of customer activity across Dynamics 365 Marketing Sales and Customer Service,G,x,x,x,x,x,x,x,x,x
Trigger journeys based on data changes in any Dynamics 365 app to engage customers at the right time without writing any code,G,x,x,x,x,x,x,x,x,x
Collaborate across your organization to create the best marketing campaigns possible using the built-in Microsoft Teams chat,G,x,x,x,x,x,x,x,x,x
Data and AI,G,x,x,x,x,x,x,x,x,x
Delight your customers with hyper-personalized next-best content selection and boost your marketing ROI by optimizing with AI,G,x,x,x,x,x,x,x,x,x
Connect Dynamics 365 Customer Insights with customer journey orchestration when using your own data lake,G,x,x,x,x,x,x,x,x,x
Quickly personalize emails using predefined dynamic text without the need to know the underlying data structure,G,x,x,x,x,x,x,x,x,x
Quickly create emails with enhanced reusable content fragments,G,x,x,x,x,x,x,x,x,x
Win customer attention by creating conditional dynamic content with easy-to-use no-code experiences,G,x,x,x,x,x,x,x,x,x
Moments-based,G,x,x,x,x,x,x,x,x,x
Create individualized journeys by adding conditions based on attributes captured as part of the event trigger,G,x,x,x,x,x,x,x,x,x
Continue the conversation with your customers by taking action on their SMS replies,G,x,x,x,x,x,x,x,x,x
Easily create journeys to send reminders encouraging customers to respond to a call to action,G,x,x,x,x,x,x,x,x,x
Target the right contacts and leads using the reimagined easy-to-use segmentation builder,G,x,x,x,x,x,x,x,x,x
Sales,G,x,x,x,x,x,x,x,x,x
Dynamics 365 Sales,G,x,x,x,x,x,x,x,x,x
Conversation intelligence,G,x,x,x,x,x,x,x,x,x
Get the right insight at the right time at the right place,G,x,x,x,x,x,x,x,x,x
Facilitating digital selling,G,x,x,x,x,x,x,x,x,x
Experience sales accelerator conversation intelligence and predictive scoring with Dynamics 365 Sales Enterprise license,G,x,x,x,x,x,x,x,x,x
Sales Hub is now preinstalled on all environments,G,x,x,x,x,x,x,x,x,x
Forecasting and pipeline intelligence,G,x,x,x,x,x,x,x,x,x
Assign attributes per sales stage to improve predictive score accuracy,G,x,x,x,x,x,x,x,x,x
Streamline your forecasting workflow with default experiences,G,x,x,x,x,x,x,x,x,x
Filter the underlying opportunities of a forecast,G,x,x,x,x,x,x,x,x,x
Monitor stagnated deals and how they impact the predictive score,G,x,x,x,x,x,x,x,x,x
Measure the performance of predictive scoring model with accuracy reports,G,x,x,x,x,x,x,x,x,x
Update quotas quickly with inline editing and quota rollups,G,x,x,x,x,x,x,x,x,x
Compare annual projections with actual progress over multiple periods,G,x,x,x,x,x,x,x,x,x
Support for yearly and weekly forecast periods,G,x,x,x,x,x,x,x,x,x
Mobile,G,x,x,x,x,x,x,x,x,x
Capture mobile phone contacts and recent calls,G,x,x,x,x,x,x,x,x,x
Effortlessly log information using the mobile phone camera,G,x,x,x,x,x,x,x,x,x
Outlook deep-link integration with templates autofill and emails to meeting participants,G,x,x,x,x,x,x,x,x,x
Relationship intelligence,G,x,x,x,x,x,x,x,x,x
Discover accounts and contacts from email interactions,G,x,x,x,x,x,x,x,x,x
Sales accelerator and process automation,G,x,x,x,x,x,x,x,x,x
Choose the right engagement plan for your customers,G,x,x,x,x,x,x,x,x,x
Personalize the prioritized worklist using advanced filtering,G,x,x,x,x,x,x,x,x,x
Enable Outlook integration to avoid double booking,G,x,x,x,x,x,x,x,x,x
Engage efficiently with your customers,G,x,x,x,x,x,x,x,x,x
Make quick decisions with enhancement to worklist cards,G,x,x,x,x,x,x,x,x,x
Update activities from sequence step and correlate it with timeline activities,G,x,x,x,x,x,x,x,x,x
Move sequences between environments seamlessly to enable sellers to get started quickly,G,x,x,x,x,x,x,x,x,x
High-quality leads ensure higher success rates,G,x,x,x,x,x,x,x,x,x
Customizable worklist cards for right contextual information to the seller,G,x,x,x,x,x,x,x,x,x
Get notified when customers actively engage with you,G,x,x,x,x,x,x,x,x,x
Service,G,x,x,x,x,x,x,x,x,x
Dynamics 365 Customer Service,G,x,x,x,x,x,x,x,x,x
Administrator experiences,G,x,x,x,x,x,x,x,x,x
Simplify administration with new Customer Service admin center application,G,x,x,x,x,x,x,x,x,x
Agent experiences,G,x,x,x,x,x,x,x,x,x
Improvements to the Case grid,G,x,x,x,x,x,x,x,x,x
Enhanced experience of using email templates while composing an e-mail,G,x,x,x,x,x,x,x,x,x
Inbox enhancements to help improve agent productivity,G,x,x,x,x,x,x,x,x,x
Scheduling and IoT capabilities in Customer Service workspace,G,x,x,x,x,x,x,x,x,x
User-initiated feedback in product,G,x,x,x,x,x,x,x,x,x
