Ring0,Ring1,Ring2,Ring3,Ring4,Ring5,Color,size,color,color1,color2,color3,color4,color5,description,description1,description2,description3,description4,description5,state,state1,state2,state3,state4,state5,level,level1,level2,level3,level4,level5,friendlyname,friendlyname1,friendlyname2,friendlyname3,friendlyname4,friendlyname5,hyperlink,hyperlink1,hyperlink2,hyperlink3,hyperlink4,hyperlink5,metadata,metadata1,metadata2,metadata3,metadata4,metadata5
Marketing,Dynamics 365 Marketing,Analytics and AI,Create email content easily and efficiently with AI-based content ideas,,,Blue,1,#F1B434,#F4C35D,#F7D285,#F9E1AE,#F9E1AE,#F9E1AE,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Marketing,Dynamics 365 Marketing,Analytics and AI,Create email content easily and efficiently with AI-based content ideas,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/create-email-content-easily-efficiently-ai-based-content-ideas,,,,,,,,
Marketing,Dynamics 365 Marketing,Moments-based,Use account-based profile data from Customer Insights as part of your customer journeys,,,Blue,1,#F1B434,#F4C35D,#F7D285,#F9E1AE,#F9E1AE,#F9E1AE,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Marketing,Dynamics 365 Marketing,Moments-based,Use account-based profile data from Customer Insights as part of your customer journeys,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/use-account-based-profile-data-customer-insights-as-part-customer-journeys,,,,,,,,
Marketing,Dynamics 365 Marketing,Moments-based,Connect Customer Insights and your own data lake with customer journey orchestration,,,Blue,1,#F1B434,#F4C35D,#F7D285,#F9E1AE,#F9E1AE,#F9E1AE,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Marketing,Dynamics 365 Marketing,Moments-based,Connect Customer Insights and your own data lake with customer journey orchestration,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/connect-customer-insights-own-data-lake-adl-v2-customer-journey-orchestration,,,,,,,,
Marketing,Dynamics 365 Marketing,Moments-based,Send SMS messages using Twilio and TeleSign integration,,,Blue,1,#F1B434,#F4C35D,#F7D285,#F9E1AE,#F9E1AE,#F9E1AE,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Marketing,Dynamics 365 Marketing,Moments-based,Send SMS messages using Twilio and TeleSign integration,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/send-sms-messages-using-twillio-telesign-integration,,,,,,,,
Marketing,Dynamics 365 Marketing,Moments-based,Visualize customer journey interactions on the Customer Insights activity timeline,,,Blue,1,#F1B434,#F4C35D,#F7D285,#F9E1AE,#F9E1AE,#F9E1AE,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Marketing,Dynamics 365 Marketing,Moments-based,Visualize customer journey interactions on the Customer Insights activity timeline,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/visualize-customer-journey-interactions-customer-insights-activity-timeline,,,,,,,,
Marketing,Dynamics 365 Marketing,Moments-based,Create a webinar registration experience in Teams then design the participants' journey in Marketing with a few clicks,,,Blue,1,#F1B434,#F4C35D,#F7D285,#F9E1AE,#F9E1AE,#F9E1AE,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Marketing,Dynamics 365 Marketing,Moments-based,Create a webinar registration experience in Teams then design the participants' journey in Marketing with a few clicks,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/create-webinar-registration-experience-teams-then-design-participants-journey-marketing-few-clicks,,,,,,,,
Marketing,Dynamics 365 Marketing,Personalization,Deliver rich customer experiences across Dynamics 365 Office and other apps by augmenting customer journeys withÂ Power Automate,,,Blue,1,#F1B434,#F4C35D,#F7D285,#F9E1AE,#F9E1AE,#F9E1AE,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Marketing,Dynamics 365 Marketing,Personalization,Deliver rich customer experiences across Dynamics 365 Office and other apps by augmenting customer journeys withÂ Power Automate,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/deliver-rich-customer-experiences-across-dynamics-365-office-other-apps-augmenting-customer-journeys-with%C2%A0power-automate,,,,,,,,
Marketing,Dynamics 365 Marketing,Personalization,Create segments for leads and custom entities in the new segmentation builder,,,Blue,1,#F1B434,#F4C35D,#F7D285,#F9E1AE,#F9E1AE,#F9E1AE,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Marketing,Dynamics 365 Marketing,Personalization,Create segments for leads and custom entities in the new segmentation builder,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/create-segments-leads-custom-entities-new-segmentation-builder,,,,,,,,
Sales,Dynamics 365 Sales,Accelerator workspace,Seller KPIs and manager dashboards to encourage productivity,,,Blue,1,#E40046,#E9336B,#EF6690,#F499B5,#F499B5,#F499B5,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Sales,Dynamics 365 Sales,Accelerator workspace,Seller KPIs and manager dashboards to encourage productivity,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/seller-kpis-manager-dashboards-encourage-productivity,,,,,,,,
Sales,Dynamics 365 Sales,Accelerator workspace,Advanced filtering and sorting,,,Blue,1,#E40046,#E9336B,#EF6690,#F499B5,#F499B5,#F499B5,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Sales,Dynamics 365 Sales,Accelerator workspace,Advanced filtering and sorting,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/advanced-filtering-sorting,,,,,,,,
Sales,Dynamics 365 Sales,Accelerator workspace,Sequence management and connected screen enhancement,,,Blue,1,#E40046,#E9336B,#EF6690,#F499B5,#F499B5,#F499B5,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Sales,Dynamics 365 Sales,Accelerator workspace,Sequence management and connected screen enhancement,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/sequence-management-connected-screen-enhancement,,,,,,,,
Sales,Dynamics 365 Sales,Accelerator workspace,Show sequence details in grid,,,Blue,1,#E40046,#E9336B,#EF6690,#F499B5,#F499B5,#F499B5,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Sales,Dynamics 365 Sales,Accelerator workspace,Show sequence details in grid,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/show-sequence-details-grid,,,,,,,,
Sales,Dynamics 365 Sales,Accelerator workspace,Worklist ownership enhancement,,,Blue,1,#E40046,#E9336B,#EF6690,#F499B5,#F499B5,#F499B5,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Sales,Dynamics 365 Sales,Accelerator workspace,Worklist ownership enhancement,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/worklist-ownership-enhancement,,,,,,,,
