NodeName,Title,Description,ContactName,EmailAddress,ImageFileName,ExternalURL,InternalURL,ExternalOnePage,EmailSubject,HTMLResult,PublicPreview,GeneralAvailablity
0,1,2,3,4,5,6,7,8,9,10,null,null
Marketing,Marketing,Marketing,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,,,null,null
Dynamics 365 Marketing,Dynamics 365 Marketing,Dynamics 365 Marketing,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/,,,,,null,null
Analytics and AI,Analytics and AI,Analytics and AI,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/planned-features,,,,,null,null
Create email content easily and efficiently with AI-based content ideas,Create email content easily and efficiently with AI-based content ideas,<h2>Business Value</h2> <p>How great would it be if your email editor could suggest relevant and engaging content? AI-based content ideas do just that. They help you find inspiration and can be used as a starting point when composing an email for your audience. Its like asking a group of colleagues to brainstorm with you. Content ideas make the email creation process simpler more efficient and fun. It's a completely new and innovative functionality with the latest technologies behind the scenes.Feature details</p><h2>Feature details</h2> <p>AI-based content ideas automatically generate a set of content snippets (based on provided key points) to serve as an inspiration for your email. You'll be able to review select and fine-tune generated content ideas based on your needs.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/create-email-content-easily-efficiently-ai-based-content-ideas,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/create-email-content-easily-efficiently-ai-based-content-ideas,,,-,-
Moments-based,Moments-based,Moments-based,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/planned-features,,,,,null,null
Use account-based profile data from Customer Insights as part of your customer journeys,Use account-based profile data from Customer Insights as part of your customer journeys,<h2>Business Value</h2> <p>Focus your marketing efforts on accounts using Dynamics 365 Customer Insights account-based profiles which combine account data from multiple data sources to generate unified account profiles that can be enriched with first and third-party data. Use those profiles to target accounts with automated customer journeys and use the enriched account information to provide a highly personalized experience.Feature details</p><h2>Feature details</h2> <p>B2B customers can power their account-based marketing campaigns using unified and enriched account profiles/segments from Customer Insights through journeys. Use the wealth of account data from Customer Insights to provide a deeply personalized and holistic experience to your target accounts.Customer journeys can use segments of account-based profiles from Customer InsightsCustomer journeys can be personalized using account-based profile data from Customer Insights</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/use-account-based-profile-data-customer-insights-as-part-customer-journeys,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/use-account-based-profile-data-customer-insights-as-part-customer-journeys,,,Oct 2021,-
Connect Customer Insights and your own data lake with customer journey orchestration,Connect Customer Insights and your own data lake with customer journey orchestration,<h2>Business Value</h2> <p>Many customers choose to store their Customer Insights data in their own Azure Data Lake Storage.You can now use data stored in Azure Data Lake Storage to build segments specify conditions and personalize messages to build rich real-time journeys while maintaining full control over the underlying data.Feature details</p><h2>Feature details</h2> <p>Customer journeys can use Customer Insights data such as customer profile and segment information that is stored in Azure Data Lake Storage in the same way you do today with standard Customer Insights connected to Microsoft Dataverse. You can:Target customers based on real-time event-triggered customer journeys.Deeply personalize your engagement using rich Customer Insights data.Close the feedback loop with customer interactions from Dynamics 365 Marketing customer journeys available in the Customer Insights activity timeline.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/connect-customer-insights-own-data-lake-adl-v2-customer-journey-orchestration,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/connect-customer-insights-own-data-lake-adl-v2-customer-journey-orchestration,,,Dec 2021,-
Send SMS messages using Twilio and TeleSign integration,Send SMS messages using Twilio and TeleSign integration,<h2>Business Value</h2> <p>SMS messaging through the Dynamics 365 Marketing mobile channel creates new opportunities to connect with mobile users. The SMS channel enables fast transactional communication and marketing messaging to use as a part of campaigns and customer service communication. We're extending these capabilities by enabling integration with Twilio and TeleSign.Feature details</p><h2>Feature details</h2> <p>Integration with Twilio and TeleSign happens through a common Omnichannel service shared with Dynamics 365 Customer Service. You can purchase or reuse existing SMS accounts with Twilio or TeleSign and it'll be possible to purchase Azure Communication Services phone numbers in the regions where Azure Communication Services SMS phone numbers are supported. For more information go to Phone number types in Azure Communication Services.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/send-sms-messages-using-twillio-telesign-integration,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/send-sms-messages-using-twillio-telesign-integration,,,-,Oct 2021
Visualize customer journey interactions on the Customer Insights activity timeline,Visualize customer journey interactions on the Customer Insights activity timeline,<h2>Business Value</h2> <p>Create a timeline to visualize all customer activities chronologically by combining customer interactions with Dynamics 365 Marketing customer journeys andother data sourcesin Dynamics 365 Customer Insights. Empower sales serviceand other frontline agents to deeply personalize relationships through knowledge of every customer's engagement history.Feature details</p><h2>Feature details</h2> <p>When Customer Insights and Dynamics 365 Marketing are connected all marketing interactions (such as message sent opened clicked) are available as activities in Customer Insights. Admins can add any or all of these interactions into the Customer Insights timeline. You can include this combined timeline in Dynamics 365 apps with the Customer Card add-insolution or in a Power BI dashboard. Marketing interactionscan be viewed alongside other data sources like CRM ERP popular data warehouses POS systemsyour websites and so on.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/visualize-customer-journey-interactions-customer-insights-activity-timeline,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/visualize-customer-journey-interactions-customer-insights-activity-timeline,,,-,Oct 2021
