NodeName,Title,Description,ContactName,EmailAddress,ImageFileName,ExternalURL,InternalURL,ExternalOnePage,EmailSubject,HTMLResult,PublicPreview,GeneralAvailability,BusinessValue,FeatureDetails
0,1,2,3,4,5,6,7,8,9,10,,,,
Marketing,Marketing,Marketing,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,,,,
Dynamics 365 Marketing,Dynamics 365 Marketing,Dynamics 365 Marketing,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/,,,,,,
Analytics and AI,Analytics and AI,Analytics and AI,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/planned-features,,,,,,
Create email content easily and efficiently with AI-based content ideas,Create email content easily and efficiently with AI-based content ideas,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/create-email-content-easily-efficiently-ai-based-content-ideas,,,Oct 2021,-,How great would it be if your email editor could suggest relevant and engaging content? AI-based content ideas do just that. They help you find inspiration and can be used as a starting point when composing an email for your audience. Its like asking a group of colleagues to brainstorm with you. Content ideas make the email creation process simpler more efficient and fun. It's a completely new and innovative functionality with the latest technologies behind the scenes.Feature details,AI-based content ideas automatically generate a set of content snippets (based on provided key points) to serve as an inspiration for your email. You'll be able to review select and fine-tune generated content ideas based on your needs.
New email editor with A/B testing,New email editor with A/B testing,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/new-email-editor-ab-testing,,,-,Oct 2021,With the revamped email editor we have designed a completely new way to create engaging and relevant content. The improved email editor is optimized for a productive workflow. The email editor includes real-time validation making it easy to produce professional emails with less time and effort. With this release the email editor is further enhanced with A/B testing functionality. The new email editor is automatically enabled for all customers.Feature details,Fast and fluid editor with a modern look and feel.More editing space.Flexible layout options allowing you to create emails without compromises.Advanced image manipulation and editing capabilities.Reliable email previews and accurate rendering.NoteAs part of this release the previous email editor is deprecated.
Moments-based,Moments-based,Moments-based,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/planned-features,,,,,,
Connect Customer Insights and your own data lake with customer journey orchestration,Connect Customer Insights and your own data lake with customer journey orchestration,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/connect-customer-insights-own-data-lake-adl-v2-customer-journey-orchestration,,,Dec 2021,-,Many customers choose to store their Customer Insights data in their own Azure Data Lake Storage.You can now use data stored in Azure Data Lake Storage to build segments specify conditions and personalize messages to build rich real-time journeys while maintaining full control over the underlying data.Feature details,Customer journeys can use Customer Insights data such as customer profile and segment information that is stored in Azure Data Lake Storage in the same way you do today with standard Customer Insights connected to Microsoft Dataverse. You can:Target customers based on real-time event-triggered customer journeys.Deeply personalize your engagement using rich Customer Insights data.Close the feedback loop with customer interactions from Dynamics 365 Marketing customer journeys available in the Customer Insights activity timeline.
A/B testing in the new outbound marketing email editor,A/B testing in the new outbound marketing email editor,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/ab-testing-new-outbound-marketing-email-editor,,,-,Oct 2021,One of the best ways to learn which of several possible email designs will produce the best results is to try each design on a different subset of your audience and then analyze interaction records to see how each design was received. Marketers call this A/B testing. Dynamics 365 Marketing now has this capability built into the new email editor allowing marketers to create an alternative version of a message and test it in a customer journey.Feature details,A/B testing in the new outbound marketing email editor allows you to:Define different types of A/B tests:Header (subject from): Lets you choose a different subject or different &quot;from&quot; name for the B version of your design.Body: Lets you select one or more design elements in the email body and change those elements' settings content or apperance in the B version of the design.Full content: Lets you select a different subject &quot;from&quot; name and one or more design elements in the email body and then change those elements' settings content or apperance in the B version of the design.Preview and test-send version A and version B of your email.Analyze the results of the A/B test in a customer journey and in email insights.NoteIf you already have added an A/B test into your email using the old editor it will be visible and fully supported in the new editor.
Send SMS messages using Twilio and TeleSign integration,Send SMS messages using Twilio and TeleSign integration,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/send-sms-messages-using-twillio-telesign-integration,,,-,Oct 2021,SMS messaging through the Dynamics 365 Marketing mobile channel creates new opportunities to connect with mobile users. The SMS channel enables fast transactional communication and marketing messaging to use as a part of campaigns and customer service communication. We're extending these capabilities by enabling integration with Twilio and TeleSign.Feature details,Integration with Twilio and TeleSign happens through a common Omnichannel service shared with Dynamics 365 Customer Service. You can purchase or reuse existing SMS accounts with Twilio or TeleSign and it'll be possible to purchase Azure Communication Services phone numbers in the regions where Azure Communication Services SMS phone numbers are supported. For more information go to Phone number types in Azure Communication Services.
