NodeName,Title,Description,ContactName,EmailAddress,ImageFileName,ExternalURL,InternalURL,ExternalOnePage,EmailSubject,HTMLResult
0,1,2,3,4,5,6,7,8,9,10
Marketing,Marketing,Marketing,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/,,,,
Dynamics 365 Marketing,Dynamics 365 Marketing,Dynamics 365 Marketing,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/,,,,
AI-powered,AI-powered,AI-powered,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/planned-features,,,,
AI-driven recommendations for images,AI-driven recommendations for images,<p>Dynamics 365 Marketing provides AI-driven context-based suggestions for images making it easy to select and deliver the best media for your emails.Feature details<p> <br> <h1>Feature details</h1> <p>Contextual search that uses the context available in authoring to provide the most relevant assets first.Supports image suggestions for email messages.Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.See alsoUse AI-driven run-time channel optimization (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/ai-driven-recommendations-image-video-document-or-fragment,,,,
AI-driven run-time channel optimization,AI-driven run-time channel optimization,<p>Your customers' preferences regarding the messaging channels they engage with and the kind of messages or actions that resonate with them vary. When marketers design a customer journey they typically choose a single channel or message for a broad segment of customers optimizing for certain customers but leaving others behind. Dynamics 365 Marketing uses AI to pick the best channel and message for each customer that goes through a customer journey without requiring you to make a design-time choice or define a complex set of conditions. By continuously learning from the way that customers engage with marketing campaigns Dynamics 365 Marketing optimizes the journey to maximize the number of customers that reach the intended goal.Feature details<p> <br> <h1>Feature details</h1> <p>The AI model chooses the best channel to funnel the audience based on users' historical data leading to higher goal attainment.The AI model selects the message that a customer is most likely to engage with based on historical data leading to higher goal attainment. For example if the journey goal is a cart checkout event the AI can choose to send a reminder to checkout message and a promo code message based on what your customers usually engage with.Analytics provide a comparison view between journeys with AI applied versus journeys without AI.Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.See alsoUse AI-driven run-time channel optimization (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/ai-driven-run-time-channel-optimization,,,,
Use natural language to create conditions for branching customer journeys,Use natural language to create conditions for branching customer journeys,<p>You can use natural language to build customer journey conditions in Dynamics 365 Marketing. Use simple words to express customer profile attributes segment names and events in five languages (EnglishGerman Italian French and Spanish). Specify the exact condition you want without complex syntax.Feature details<p> <br> <h1>Feature details</h1> <p>Use natural language queries to:Describe profile attributesfor example &quot;Customers with CEO job title.&quot;Describe segment namesfor example &quot;Customers who are in Loyalty segment.&quot;Join two clauses together using logicfor example &quot;People who live inSeattle&quot; AND &quot;People who live in France.&quot;Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.See alsoUse natural language in real-time marketing journeys (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/use-natural-language-create-conditions-branching-customer-journeys,,,,
Analytics,Analytics,Analytics,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/planned-features,,,,
Experiment with the next action in a journey to optimize for results,Experiment with the next action in a journey to optimize for results,<p>Dynamics 365 Marketing now enables customers to optimize their customer journeys by creating A/B tests with the same message across different channels different messages altogether or any next action. This adds to the existing capability for marketers to be able to test two variants of the same message together in a customer journey. With the new A/B testing tools marketers can confidently deliver engaging messages through the best channels and increase the ROI of their journeys.Feature details<p> <br> <h1>Feature details</h1> <p>Test any two variants against one another: different channels with the same message different messages with the same channel different channels with different messages slight variants of the same message (with different subject lines or content) or any actions in the customer journey.The winning metric can be message-specific (for example email clicked) or a journey goal (for example cart checkout); the latter allows you to choose a winning variant that truly increases the journey goal attainment.Control the audience distribution between the two variants.End the test automatically once a winning variant is declared or end the test at a date specified.Choose to send a default version if a clear winner is not declared by the date specified.Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.See alsoExperiment and refine real-time marketing journeys (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/experiment-next-action-journey-optimize-results,,,,
Improve journey effectiveness with a built-in cross-journey aggregate dashboard,Improve journey effectiveness with a built-in cross-journey aggregate dashboard,<p>The cross-journey dashboard built with Power BI presents metrics views and KPIs summarized across single or multiple journeys providing you with a deep understanding of journey channel and content performance. The built-in dashboard focuses on engagement goals so you can fine-tune the effectiveness of your journeys channels and content.Feature details<p> <br> <h1>Feature details</h1> <p>Evaluate the success of journeys against your objectives.Troubleshoot journeys by identifying areas of friction.Present journey effectiveness KPIs to stakeholders.Discover what is working so that you can amplify or recreate the same approach elsewhere.Understand the effectiveness of various channels of communication.Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.See alsoAccess and interpret analytics (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/improve-journey-effectiveness-new-set-built-analytics-dashboards-cross-journey-insights,,,,
In real time monitor your customer journeys and channel KPIs,In real time monitor your customer journeys and channel KPIs,<p>Evaluate your customer journeys effectiveness with real-time analytics updates. Analytics overlays give you the tools to examine your entire customer journey at a glance. Use the built-in Sankey chart to highlight the flow density of journey participants through each step. Analyze channel performance using the deliverability funnel and undelivered category pie chart breakdown. Monitor goal accomplishment using the goal attainment chart.Feature details<p> <br> <h1>Feature details</h1> <p>Monitor journey operation health in real time.Track the success and impact of various steps and channels in the journey.Identify bottlenecks in the journey flow.Immediately see which channel or step in your journey is underperforming.Determine why participants are engaging or disengaging with channels or steps in your customer journey.Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.See alsoAccess and interpret analytics (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/real-time-monitor-customer-journeys-channel-kpis,,,,
